qid, relevantCountBydayBeforeQuery
day	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	
111	1	0	0	2	0	2	1	0	0	1	2	2	1	1	0	2	0	0	1	0	0	1	2	2	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	
112	5	2	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
113	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	
114	2	1	0	0	1	1	1	1	1	0	0	1	2	1	1	2	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
115	3	4	1	2	1	0	3	1	3	34	2	1	3	1	0	0	1	0	1	2	2	0	1	0	0	0	1	3	1	1	9	1	1	1	1	1	2	1	2	0	0	0	0	1	0	0	1	0	1	1	0	1	0	1	1	0	0	0	0	
116	3	3	3	1	8	2	1	1	8	49	0	1	0	1	1	0	0	0	0	1	0	0	10	2	8	6	15	23	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
117	6	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
118	7	25	63	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1	3	0	0	1	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
119	10	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	
120	1	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	3	1	1	0	0	1	0	1	0	0	0	2	0	1	0	0	0	0	1	1	0	2	7	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
121	9	8	0	2	2	6	9	7	9	7	5	5	8	9	3	8	7	2	6	11	12	8	7	4	1	4	1	7	1	9	1	1	4	8	11	6	13	3	1	2	5	4	8	1	1	5	7	7	10	14	5	3	5	4	1	0	0	0	0	
122	1	1	0	1	0	0	2	2	0	1	0	0	1	1	0	2	1	1	2	0	0	2	4	1	0	0	0	0	1	2	4	1	1	0	1	0	1	1	1	1	1	1	2	3	2	7	0	3	3	7	4	5	1	3	0	0	2	0	0	
123	1	4	1	0	1	1	0	0	3	1	2	4	0	2	0	1	2	0	2	6	0	1	1	2	4	1	0	1	0	1	4	2	2	6	3	1	1	1	0	1	1	0	2	4	6	1	2	4	9	1	7	1	2	2	0	0	0	0	0	
124	1	2	4	3	4	1	3	7	17	44	9	5	1	0	0	3	0	1	5	6	4	1	0	3	8	1	1	1	1	3	13	7	2	6	3	0	2	17	0	5	8	6	6	2	0	0	2	0	1	0	9	15	0	0	0	0	0	0	0	
125	1	0	2	2	1	1	9	86	2	4	1	1	3	0	0	2	1	1	1	2	0	3	1	1	0	2	2	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
126	17	6	21	16	13	16	11	11	10	6	5	6	7	5	4	9	8	3	10	13	12	37	15	36	13	17	20	27	8	5	4	9	3	6	4	9	11	8	30	4	6	8	6	5	4	6	8	10	3	0	0	0	0	0	0	0	0	0	0	
127	1	1	1	0	4	24	54	6	7	2	12	32	6	7	8	16	18	45	131	27	32	17	10	2	2	11	12	22	10	3	8	13	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
128	4	7	3	9	2	3	5	7	9	10	12	7	8	6	5	4	10	10	9	6	6	4	7	6	3	13	8	7	4	2	3	6	13	5	7	3	10	8	4	6	7	1	6	2	8	5	1	5	8	6	9	12	6	3	10	7	4	5	0	
129	1	1	2	1	0	0	0	0	0	0	1	7	13	1	2	2	0	8	38	0	0	0	0	0	0	0	0	0	1	5	12	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	
130	2	2	0	1	2	0	0	1	2	1	2	0	0	0	2	1	1	0	3	0	0	1	2	3	1	0	1	0	3	0	2	2	1	0	0	0	1	1	1	1	0	0	2	1	1	1	2	3	1	0	0	0	0	0	0	0	0	0	0	
131	1	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	
132	3	4	10	50	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
133	28	24	2	1	1	1	2	3	0	0	1	0	0	2	1	0	0	0	0	1	0	1	3	1	22	3	7	17	84	41	28	32	39	51	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
134	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0	0	0	0	0	2	0	1	0	0	0	0	2	3	2	1	0	0	0	0	0	0	0	
135	0	0	0	0	0	2	1	0	1	0	0	0	1	1	1	2	0	0	0	0	1	1	2	0	5	3	5	11	26	0	0	0	1	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	
136	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	
137	27	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
138	10	61	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
139	2	0	0	0	1	5	1	1	0	1	0	1	8	0	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	5	3	1	4	0	0	0	0	0	0	0	0	0	0	0	
140	10	1	0	0	0	0	0	0	0	3	4	1	2	2	7	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	2	0	3	0	0	2	5	4	26	14	20	17	0	0	0	0	0	0	0	
141	1	1	4	1	2	3	1	5	2	6	6	2	3	7	4	6	12	9	9	26	26	14	19	19	24	11	4	5	9	12	7	2	3	4	3	3	4	3	4	6	2	1	0	10	0	3	0	2	0	1	3	2	0	0	2	0	1	0	0	
142	48	0	0	0	1	0	1	0	0	6	7	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	6	0	1	0	0	0	0	0	0	0	
143	5	0	0	1	1	0	0	4	0	0	1	1	0	0	0	0	2	0	0	0	0	4	1	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
144	1	3	18	15	27	12	1	7	5	1	2	1	0	0	9	17	30	0	0	3	0	1	0	0	0	1	2	1	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
145	1	0	0	1	1	1	1	1	0	2	3	0	2	0	3	4	3	7	2	6	4	3	1	3	9	1	4	6	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	4	0	1	1	0	0	0	0	0	0	0	0	0	0	
146	3	3	1	4	7	13	7	4	3	2	4	11	5	17	11	25	22	2	1	2	3	4	4	5	5	1	1	1	1	0	2	5	4	3	1	0	5	0	3	4	4	0	3	4	5	1	4	1	5	2	3	5	1	0	0	0	0	0	0	
147	4	5	2	5	8	10	0	0	0	0	0	0	0	0	1	0	0	2	3	0	1	0	0	1	1	6	2	4	1	1	0	2	0	2	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0	0	0	1	1	0	0	1	
148	1	0	0	3	3	12	3	2	2	2	0	1	8	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
149	2	1	3	0	0	1	0	1	1	0	1	0	2	15	2	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	1	0	0	0	2	0	0	2	0	0	1	1	12	1	7	1	0	0	0	0	0	0	0	0	0	0	0	
150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
