qid, relevantCountBydayBeforeQuery
day	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	
100	1	1	0	0	1	2	0	1	1	0	1	0	1	2	0	0	0	
101	1	0	3	1	3	1	1	2	8	3	1	3	2	6	5	2	0	
102	0	0	0	2	3	1	2	2	2	0	2	1	0	2	3	2	0	
103	1	0	0	1	0	0	0	0	1	1	2	6	1	4	10	1	0	
104	2	2	3	9	3	5	4	58	9	2	1	5	3	5	4	3	0	
105	2	4	4	0	1	0	0	0	0	2	0	0	0	0	2	0	0	
106	1	1	2	1	3	0	5	15	0	0	2	2	2	1	7	6	2	
107	1	4	1	0	1	2	1	2	2	6	1	2	2	2	2	1	1	
108	6	5	4	6	7	9	3	13	6	2	6	5	3	2	0	0	0	
109	2	1	0	0	0	1	2	0	0	0	0	1	3	0	0	0	0	
110	1	3	0	1	5	4	4	4	0	2	0	4	1	4	4	2	2	
51	2	0	3	0	1	2	0	0	5	0	0	0	1	1	0	1	1	
52	7	5	2	1	0	0	2	3	4	3	4	2	0	0	0	0	0	
53	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
54	8	7	8	19	34	175	5	1	0	1	2	32	7	16	0	1	0	
55	12	3	6	14	12	12	15	10	15	9	4	5	8	11	4	3	0	
56	2	3	1	2	4	0	0	4	1	6	1	2	0	0	0	0	0	
57	57	24	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
58	2	3	1	3	4	2	0	0	0	2	1	0	1	0	4	4	0	
59	6	1	3	2	6	5	4	1	1	1	3	11	5	1	3	4	1	
60	25	24	33	35	36	30	31	38	27	29	36	31	33	31	29	7	0	
61	0	0	0	0	1	0	1	0	2	0	2	2	3	4	8	4	0	
62	2	2	6	8	16	2	1	1	0	0	0	0	2	0	2	3	2	
63	5	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
64	3	4	0	7	4	4	5	11	0	1	0	5	3	2	2	0	0	
65	1	5	2	0	0	2	1	0	2	12	4	0	1	1	2	0	0	
66	45	77	16	0	10	1	3	12	0	7	0	0	0	0	0	0	0	
67	5	1	0	0	0	1	1	8	3	5	0	6	1	0	1	0	0	
68	27	17	12	49	53	2	0	0	0	0	0	0	0	0	0	0	0	
69	13	2	1	1	4	5	4	3	9	0	2	3	4	16	4	2	0	
70	1	5	2	8	8	7	3	6	6	6	4	2	4	2	4	2	0	
71	99	24	31	12	1	1	1	1	0	0	0	0	0	0	0	0	0	
72	12	6	8	6	7	6	9	24	8	0	0	0	0	0	0	0	0	
73	6	3	1	6	1	1	3	3	8	6	5	5	13	0	0	0	0	
74	5	2	10	5	13	14	10	4	15	13	12	10	12	16	20	2	0	
75	32	143	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
77	0	4	1	3	6	3	0	2	0	0	1	1	0	2	1	0	0	
78	64	25	23	25	36	49	29	22	26	27	24	20	31	34	30	34	37	
79	19	34	29	1	2	1	9	13	28	0	4	5	13	0	0	0	0	
80	10	0	1	3	2	0	0	0	0	0	0	0	0	1	0	0	0	
81	19	1	10	5	1	9	22	97	2	1	17	20	7	3	2	1	0	
82	8	5	17	10	6	10	10	6	10	6	4	3	0	0	0	0	0	
83	0	0	0	2	0	1	1	3	3	0	3	1	5	1	2	1	1	
84	9	3	2	9	4	2	5	1	1	6	2	3	2	3	2	1	0	
85	29	9	0	5	7	1	3	3	1	1	2	0	6	1	1	1	0	
86	1	0	0	0	0	3	2	14	7	0	0	0	0	0	0	0	0	
87	8	10	5	14	7	11	10	9	6	8	5	8	13	11	7	8	9	
88	1	8	2	0	2	1	8	62	20	3	5	2	15	73	2	23	0	
89	1	1	1	1	1	1	0	3	5	8	0	2	0	0	0	0	0	
90	4	2	3	7	9	2	2	4	4	2	7	5	3	6	1	1	0	
91	5	2	5	10	3	4	0	0	0	0	0	0	0	0	0	0	0	
92	4	1	1	2	6	2	6	5	0	4	2	3	5	3	3	0	0	
93	5	2	7	3	8	7	4	1	1	0	1	0	0	0	0	1	0	
94	1	1	7	5	0	3	1	4	1	1	2	2	1	1	3	3	1	
95	14	18	5	3	13	4	2	2	2	1	4	13	15	16	8	7	0	
96	5	6	7	15	27	20	0	0	0	0	0	0	0	0	0	0	0	
97	5	3	2	3	7	4	5	5	4	3	3	1	5	3	3	4	2	
98	3	5	3	3	12	9	6	9	5	2	19	11	8	5	16	19	1	
99	11	96	15	11	8	5	6	2	2	0	0	0	0	0	4	0	1	
